DeviceNum,Category,XLE_MAC,XB_MAC,XLE_IP,XLE_Version,XB_Version,RSRP_dBm,RSRQ_dB,SNR_dB,RSSI_dBm,RadioEnvConditions,BandInfo_dmcli,Band_actual,EARFCN,BandBW_MHz,CA_Active,CA_TotalBW_MHz,PCI,GlobalCellId,TAC,TimingAdvance_us,CellDistance_km,DL_Mbps,UL_Mbps,Ping_ms,Latency_avg_ms,Latency_min_ms,Latency_max_ms,PacketLoss_pct,SpeedtestServer,ServerDistance_km,Neighbors_IntraFreq,Neighbors_InterFreq,PLMN,UE_InIdle_During_Test,Serving_RSRP_Connected_dBm,Serving_RSRQ_Connected_dB,SNR_During_Test_dB,Timestamp
39,GOOD,d8:9c:8e:00:33:40,98:9D:5D:CF:30:7A,169.254.1.244,WNXL11BWL_8.3p11s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-92,-11,18.2,-68,GOOD,5,eutran-4,2100,10,No,10,105,15653408,15617,,,,100.89,126.86,29.169,21.359,12.656,78.681,0,,,2,3,311048,No,-91.9,-7.5,20.0,2026-06-04T07:15Z
40,GOOD,,,169.254.1.86,,,,,,,GOOD,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T07:20Z
41,GOOD,d8:9c:8e:00:35:b6,80:DA:C2:8E:97:C4,169.254.1.88,WNXL11BWL_8.3p11s1_PROD_sey,CGM4981COM_8.3p14s1_PROD_sey,-93,-8,17.0,-59,GOOD,4,eutran-4,2050,10,No,10,9,37736480,37662,,,,197.59,30.97,38.444,21.208,14.752,88.905,1,,,1,3,311048,No,-91.2,-11.3,16.4,2026-06-04T07:30Z
42,GOOD,d8:9c:8e:00:39:8f,C4:4F:D5:F5:05:8C,169.254.85.247,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-86,-7,17.8,-63,GOOD,2,eutran-4,2125,10,No,10,105,31266326,30720,,,,194.74,40.23,26.306,16.803,11.766,28.506,2,,,1,3,311048,No,-85.8,-8.5,17.4,2026-06-04T07:45Z
43,GOOD,d8:9c:8e:00:39:a8,E0:DB:D1:E5:79:1A,169.254.1.26,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-95,-7,17.8,-68,FAIR,4,eutran-4,2350,10,No,10,13,58864180,58624,,,,181.80,38.52,43.924,24.502,18.520,77.752,0,,,0,1,311048,No,-94.4,-6.5,17.0,2026-06-04T08:00Z
44,GOOD,d8:9c:8e:00:3a:c0,10:36:AA:24:7F:78,169.254.1.160,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-92,-9,17.6,-58,GOOD,13,eutran-4,2050,10,No,10,290,81368864,4352,,,,190.16,116.16,44.278,33.816,20.623,107.895,0,,,0,2,311048,No,-90.1,-10.7,17.8,2026-06-04T08:15Z
45,GOOD,d8:9c:8e:00:3c:05,B8:5E:71:49:09:29,169.254.1.197,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.3p10s1_PROD_sey,-91,-11,12.0,-68,GOOD,3,eutran-2,925,10,No,10,438,130077454,53248,,,,121.12,120.16,97.047,20.554,12.848,40.053,0,,,0,3,311048,No,-91.6,-13.5,12.4,2026-06-04T08:30Z
46,GOOD,d8:9c:8e:00:3e:a3,B8:5E:71:59:23:C0,169.254.1.81,WNXL11BWL_8.3p7s1_PROD_sey,CGM4331COM_8.3p12s1_PROD_sey,-92,-10,6.8,-60,GOOD,4,eutran-4,2075,10,No,10,135,7939340,7941,,,,80.65,70.15,27.346,18.380,9.573,65.628,0,,,1,2,311048,No,-90.5,-11.1,10.0,2026-06-04T08:45Z
47,GOOD,,,169.254.1.146,,,,,,,GOOD,,,,,,,,,,,,FAIL,FAIL,,,,,,,,,,311048,,,,,2026-06-04T09:00Z
48,GOOD,d8:9c:8e:00:40:e7,B8:5E:71:33:51:69,169.254.1.126,WNXL11BWL_8.3p7s1_PROD_sey,CGM4981COM_8.5p2s3_PROD_sey,-99,-11,18.0,-70,FAIR,13,eutran-4,2050,10,No,10,387,115133452,38144,,,,105.66,24.46,31.549,19.642,13.520,58.417,0,,,1,0,311048,No,-100.2,-11.2,18.4,2026-06-04T09:15Z
