"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"d8:9c:8e:00:20:12","5C:22:DA:EE:D5:B0",GOOD
"d8:9c:8e:00:20:49","1C:9E:CC:21:A4:FC",FAIR
"d8:9c:8e:00:20:58","5C:22:DA:3C:F1:6F",EXCELLENT
"d8:9c:8e:00:20:6c","C0:94:35:78:4D:84",GOOD
"d8:9c:8e:00:20:7b","70:13:01:D5:A3:D4",POOR
"d8:9c:8e:00:20:85","64:67:72:8F:64:90",FAIR
"d8:9c:8e:00:20:8f","5C:22:DA:3C:CA:47",POOR
"d8:9c:8e:00:20:a3","58:96:30:93:06:5E",POOR
"d8:9c:8e:00:20:ad","AC:4C:A5:B4:A8:80",POOR
"d8:9c:8e:00:20:bc","AC:DB:48:98:14:39",FAIR
"d8:9c:8e:00:20:c1","1C:9E:CC:25:77:2E",GOOD
"d8:9c:8e:00:20:e9","C4:50:9C:25:1E:D4",POOR
"d8:9c:8e:00:21:3e","98:9D:5D:DD:F5:53",FAIR
"d8:9c:8e:00:21:4d","80:DA:C2:F4:66:B8",POOR
"d8:9c:8e:00:21:bb","70:13:01:7C:27:0C",POOR
"d8:9c:8e:00:21:c5","3C:2D:9E:83:BD:0C",FAIR
"d8:9c:8e:00:21:ca","70:13:01:C6:5C:DC",FAIR
"d8:9c:8e:00:21:d9","1C:9E:CC:21:BB:6C",POOR
"d8:9c:8e:00:21:ed","58:96:30:3F:BF:C3",FAIR
"d8:9c:8e:00:22:15","AC:DB:48:E3:EF:0D",FAIR
"d8:9c:8e:00:22:56","D4:E2:CB:D7:95:E0",FAIR
"d8:9c:8e:00:22:6a","E0:DB:D1:43:57:C9",POOR
"d8:9c:8e:00:22:79","CC:F3:C8:6A:34:14",FAIR
"d8:9c:8e:00:22:7e","5C:22:DA:3C:A8:7B",POOR
"d8:9c:8e:00:22:92","64:67:72:8F:59:AE",POOR
"d8:9c:8e:00:22:97","E0:DB:D1:D9:45:61",FAIR
"d8:9c:8e:00:22:a1","58:96:30:3F:C9:6A",FAIR
"d8:9c:8e:00:22:a6","B8:A5:35:A6:2F:AE",POOR
"d8:9c:8e:00:22:b5","1C:9D:72:27:4D:E4",POOR
"d8:9c:8e:00:22:c4","64:67:72:8F:68:E9",POOR
"d8:9c:8e:00:22:d8","C4:50:9C:49:CC:E4",POOR
"d8:9c:8e:00:22:e7","3C:2D:9E:EA:F4:3C",GOOD
"d8:9c:8e:00:22:f6","58:96:30:3F:C5:F8",GOOD
"d8:9c:8e:00:23:1e","C0:94:35:BC:A4:E0",GOOD
"d8:9c:8e:00:23:23","C4:4F:D5:47:B5:5C",FAIR
"d8:9c:8e:00:23:28","C0:94:35:19:2C:65",POOR
"d8:9c:8e:00:23:2d","AC:DB:48:89:1E:C3",FAIR
"d8:9c:8e:00:23:5a","AC:4C:A5:44:D7:2E",POOR
"d8:9c:8e:00:23:6e","1C:9E:CC:21:BC:AC",POOR
"d8:9c:8e:00:23:73","94:F7:BE:8A:22:13",POOR
"d8:9c:8e:00:23:82","64:67:72:8F:6D:96",POOR
"d8:9c:8e:00:23:8c","E0:DB:D1:2E:FC:E3",POOR
"d8:9c:8e:00:23:91","D4:E2:CB:9F:4C:8C",POOR
"d8:9c:8e:00:23:aa","5C:7D:7D:51:52:C4",FAIR
"d8:9c:8e:00:23:be","80:DA:C2:23:83:B8",POOR
"d8:9c:8e:00:23:cd","A8:70:5D:EC:93:69",FAIR
"d8:9c:8e:00:23:d2","AC:DB:48:04:C5:A9",POOR
"d8:9c:8e:00:24:04","3C:82:C0:07:94:BC",POOR
"d8:9c:8e:00:24:1d","70:13:01:F9:7D:D4",GOOD
"d8:9c:8e:00:24:27","48:4B:D4:67:51:27",GOOD
"d8:9c:8e:00:24:36","B8:5E:71:35:66:59",FAIR
"d8:9c:8e:00:24:3b","1C:9E:CC:21:A2:DC",POOR
"d8:9c:8e:00:24:4a","0C:FE:7B:7E:FA:E4",POOR
"d8:9c:8e:00:24:4f","1C:9E:CC:21:8C:24",EXCELLENT
"d8:9c:8e:00:24:59","5C:22:DA:3D:05:57",POOR
"d8:9c:8e:00:24:5e","3C:2D:9E:4D:61:D2",FAIR
"d8:9c:8e:00:24:7c","B8:5E:71:3E:0A:B9",EXCELLENT
"d8:9c:8e:00:24:86","58:96:30:90:A2:E1",FAIR
"d8:9c:8e:00:24:8b","98:9D:5D:D1:16:B4",FAIR
"d8:9c:8e:00:24:95","B8:A5:35:A5:F2:16",GOOD
"d8:9c:8e:00:24:a4","5C:22:DA:3C:C2:F3",FAIR
"d8:9c:8e:00:24:a9","5C:22:DA:FC:18:84",FAIR
"d8:9c:8e:00:24:ae","58:96:30:3F:A0:74",GOOD
"d8:9c:8e:00:24:b8","1C:9E:CC:21:C0:C4",POOR
"d8:9c:8e:00:24:bd","64:67:72:8F:41:12",POOR
"d8:9c:8e:00:24:cc","AC:4C:A5:49:DD:13",POOR
"d8:9c:8e:00:24:d1","0C:FE:7B:C2:42:FC",GOOD
"d8:9c:8e:00:24:db","80:DA:C2:25:9B:30",POOR
"d8:9c:8e:00:24:ea","F8:5E:42:B3:2A:2A",POOR
"d8:9c:8e:00:24:ef","1C:9E:CC:21:B3:2C",POOR
"d8:9c:8e:00:24:f4","5C:7D:7D:2C:E0:43",FAIR
"d8:9c:8e:00:24:fe","AC:DB:48:83:6F:8A",POOR
"d8:9c:8e:00:25:0d","40:75:C3:F7:84:CC",FAIR
"d8:9c:8e:00:25:12","F8:D0:0E:A5:AE:44",FAIR
"d8:9c:8e:00:25:17","1C:9E:CC:21:B3:04",FAIR
"d8:9c:8e:00:25:2b","B8:A5:35:9A:80:1E",FAIR
"d8:9c:8e:00:25:c6","88:9E:68:E1:FC:CC",FAIR
"d8:9c:8e:00:26:b1","48:BD:CE:4C:9C:57",FAIR
